 	Mean1	Mean2	Mean3
502	864.286	985.032	1275.698
503	1002.743	1254.032	1687.698
504	1007.514	1305.871	1656.547
505	952.257	1279.742	1582.075
506	918.886	1201.806	1450.453
507	869.657	1240.516	1367.038
508	869.114	1311.516	1323.377
509	944.543	1603.516	1534.755
510	938.771	1634.387	1554.811
511	918.200	1802.613	1585.377
512	892.657	1795.355	1478.245
513	880.029	2022.226	1423.962
514	934.400	2001.484	1634.038
515	1020.029	2185.936	2017.415
516	1268.600	2628.226	2373.189
517	1513.114	2798.323	2623.340
518	1503.486	2853.258	2380.472
519	1330.914	2583.742	2071.075
520	1213.857	2245.129	1828.830
521	1069.914	1954.903	1624.302
522	1018.829	1880.548	1501.774
523	1088.857	2042.484	1480.094
524	1120.257	2005.548	1412.094
525	1095.286	1924.258	1388.585
526	1102.200	1755.710	1341.340
527	1038.200	1629.516	1297.585
528	971.971	1472.839	1240.283
529	922.743	1332.613	1228.189
530	904.343	1291.419	1219.057
531	915.371	1279.387	1233.755
532	1143.514	1301.710	1328.887
533	1382.400	1435.774	1504.000
534	1332.257	1413.129	1550.981
535	1231.171	1278.452	1471.887
536	1095.571	1178.000	1443.396
537	1018.371	1071.323	1363.736
538	971.914	1021.806	1287.151
539	936.029	990.161	1233.623
540	892.600	916.419	1202.755
541	846.743	933.097	1167.472
542	862.771	898.355	1141.585
543	912.686	946.968	1250.943
544	954.171	963.387	1253.906
545	927.629	1004.323	1300.075
546	924.914	987.419	1276.038
547	967.714	1062.774	1408.377
548	1185.143	1358.323	1518.453
549	1156.600	1469.935	1467.264
550	1099.714	1454.903	1338.075
551	977.371	1310.645	1265.113
552	949.571	1263.742	1241.151
553	882.143	1140.839	1175.981
554	800.171	1040.452	1095.849
555	783.314	1000.258	1051.547
556	837.629	1165.968	1091.830
557	873.829	1177.968	1112.547
558	893.457	1127.258	1155.453
559	873.600	1121.839	1135.774
560	840.371	1010.097	1150.302
561	809.314	999.774	1174.698
562	881.771	953.774	1139.075
563	1224.029	1017.968	1169.000
564	1366.800	1018.839	1228.019
565	1321.286	978.774	1200.472
566	1286.657	958.065	1197.283
567	1317.829	989.839	1175.094
568	1522.114	1023.355	1171.094
569	1430.914	1015.677	1143.585
570	1544.657	1048.387	1127.189
571	1967.286	1137.032	1118.792
572	2137.143	1205.484	1109.660
573	2132.086	1169.903	1084.660
574	2074.629	1083.097	1087.623
575	1926.257	1084.968	1052.208
576	1875.114	1034.710	1051.811
577	1802.514	1010.710	1032.075
578	2042.400	1331.613	1122.962
579	2231.314	1452.839	1105.830
580	2075.400	1337.613	1074.528
581	1990.200	1231.677	1020.547
582	1783.600	1131.839	980.151
583	1527.457	1018.710	1018.755
584	1476.114	1028.065	1257.019
585	1509.600	1229.065	1496.547
586	1377.514	1322.548	1729.189
587	1218.829	1299.742	1740.057
588	1166.829	1187.839	1567.641
589	1137.714	1139.516	1444.396
590	1028.943	1064.710	1368.906
591	943.257	1054.323	1282.113
592	930.143	999.903	1197.038
593	1222.543	1109.161	1311.943
594	1262.571	1124.581	1353.849
595	1242.714	1082.000	1259.792
596	1150.086	1008.710	1205.736
597	1194.800	978.097	1194.075
598	1178.600	969.806	1178.792
599	1193.057	968.484	1201.094
600	1156.600	972.774	1187.415
601	1224.286	958.161	1173.377
602	1141.514	928.452	1181.547
603	1061.057	927.355	1141.906
604	1220.943	962.161	1193.472
605	1491.743	996.323	1269.717
606	1503.600	983.871	1266.208
607	1456.286	1024.161	1240.792
608	1554.829	1268.903	1219.208
609	1500.714	1260.226	1149.925
610	1319.343	1131.387	1103.981
611	1211.829	1106.613	1087.887
612	1077.657	1029.871	1035.849
613	1006.229	979.065	963.906
614	959.886	962.677	972.170
615	918.400	971.839	986.604
616	905.000	985.129	988.453
617	863.257	946.032	1068.679
618	985.114	971.516	1357.981
619	1178.486	966.774	1493.660
620	1110.343	976.903	1415.623
621	1052.486	943.129	1335.849
622	976.029	935.645	1341.604
623	959.743	1019.000	1357.340
624	1088.857	1055.419	1319.208
625	1115.857	1091.065	1253.057
626	1293.057	1156.968	1191.359
627	1373.686	1235.935	1265.151
628	1408.629	1265.065	1220.962
629	1321.914	1391.452	1165.641
630	1306.629	1360.516	1159.359
631	1368.600	1348.032	1168.396
632	1548.600	1482.032	1190.283
633	1619.143	1530.935	1166.547
634	1633.800	1883.806	1177.019
635	1588.886	1800.484	1209.057
636	1737.257	1964.968	1173.641
637	1595.657	1932.677	1118.717
638	1479.571	1887.419	1154.868
639	1626.629	2104.161	1203.604
640	1444.771	1926.194	1113.189
641	1340.457	1733.032	1075.245
642	1175.457	1591.032	1015.000
643	1136.829	1470.581	992.509
644	1065.457	1417.548	1016.076
645	1032.457	1397.839	1087.321
646	949.743	1436.290	1155.679
647	897.886	1289.871	1121.283
648	877.800	1258.645	1070.057
649	828.000	1103.258	1020.340
650	778.457	1030.452	967.019
651	775.714	1020.742	956.076
652	773.400	964.710	985.943
653	836.343	1044.065	1033.264
654	927.971	1407.129	1114.925
655	986.114	1687.290	1108.019
656	1008.000	1981.871	1172.189
657	1038.743	2072.710	1152.208
658	988.486	1953.129	1086.396
659	957.514	1900.484	1084.717
660	896.257	1740.710	1051.396
661	889.286	1802.258	1078.245
662	886.971	1751.000	1093.943
663	938.829	1829.839	1116.641
664	959.571	1775.548	1165.604
665	985.314	1738.968	1154.396
666	968.429	1641.710	1133.623
667	976.829	1514.581	1099.887
668	972.514	1406.355	1096.113
669	1037.114	1416.065	1148.849
670	1074.486	1306.161	1111.509
671	1001.486	1209.065	1092.811
672	917.314	1121.290	1049.641
673	824.800	1032.839	1018.057
674	823.914	996.871	1034.377
675	786.886	967.484	980.189
676	791.657	944.710	1004.585
677	804.971	932.097	1005.302
678	779.229	911.613	1019.472
679	781.543	896.806	1005.641
680	768.686	908.677	1017.887
681	744.629	903.774	1019.962
682	790.229	871.097	997.755
683	803.400	906.548	1025.302
684	847.857	924.355	1080.623
685	824.943	926.806	1064.434
686	832.029	956.742	1072.113
687	832.257	990.710	1116.736
688	897.314	1029.516	1134.472
689	910.314	1064.194	1210.868
690	899.800	1022.613	1194.981
691	941.200	1047.032	1227.264
692	941.200	1018.387	1234.717
693	956.086	1020.065	1229.075
694	928.771	1024.742	1197.774
695	947.857	1003.677	1264.113
696	925.486	1013.774	1221.434
697	940.143	1051.516	1290.283
698	964.971	1091.677	1278.283
699	1003.714	1108.097	1334.283
700	983.571	1044.677	1243.396
701	894.686	979.677	1177.189
702	849.886	1010.000	1144.547
703	788.629	903.645	1062.377
704	780.657	898.806	1011.906
705	790.371	922.871	1012.509
706	790.714	966.871	1043.509
707	831.857	988.645	1077.528
708	847.686	1020.000	1090.472
709	844.914	977.581	1105.962
710	821.714	937.097	1085.075
711	828.200	905.226	1073.849
712	841.714	911.258	1092.491
713	868.971	902.419	1067.132
714	988.514	949.516	1164.226
715	1199.829	1133.677	1324.830
716	1255.000	1161.129	1355.660
717	1231.429	1166.774	1377.057
718	1163.657	1121.032	1391.019
719	1112.171	1047.742	1372.132
720	1119.943	1072.419	1378.509
721	1203.200	1215.581	1532.887
722	1274.743	1222.032	1585.453
723	1294.657	1242.516	1713.434
724	1561.971	1323.226	1845.396
725	1623.829	1399.161	1924.811
726	1716.429	1504.710	2037.415
727	1737.857	1571.774	1959.736
728	1571.029	1384.516	2058.038
729	1564.371	1453.516	1996.585
730	1884.629	1646.839	1938.491
731	1923.514	1704.548	1897.075
732	1885.286	1544.548	1769.641
733	1792.371	1425.871	1608.075
734	1613.686	1401.258	1606.679
735	1353.514	1227.548	1537.792
736	1228.800	1145.871	1456.151
737	1125.229	1074.710	1351.245
738	1047.114	1009.516	1309.189
739	1005.600	1027.226	1546.792
740	986.571	1029.968	1597.528
741	944.857	1016.968	1502.075
742	906.314	960.516	1384.057
743	870.771	941.935	1291.434
744	957.086	964.806	1249.925
745	1503.371	1100.613	1405.264
746	1636.314	1099.581	1409.038
747	1540.429	1053.323	1383.359
748	1365.629	972.677	1267.226
749	1163.943	898.710	1174.641
750	1115.486	889.258	1142.604
751	1061.171	877.065	1132.830
752	1082.000	925.097	1133.396
753	1255.714	971.161	1170.302
754	1387.457	992.871	1191.019
755	1341.029	999.839	1186.000
756	1541.343	984.968	1176.925
757	1536.200	963.129	1191.679
758	1503.171	932.903	1134.377
759	1380.771	947.871	1120.925
760	1358.800	930.226	1073.755
761	1238.343	912.355	1042.774
762	1197.771	912.032	1024.189
763	1239.257	897.742	1020.170
764	1151.314	864.419	1015.472
765	1087.600	865.677	1026.264
766	1022.000	872.742	987.415
767	950.457	866.419	976.509
768	893.257	1038.839	1065.585
769	926.429	1138.194	1090.774
770	900.171	1140.839	1090.226
771	846.829	1162.839	1085.094
772	842.771	1092.097	1086.698
773	907.086	1073.968	1093.566
774	905.200	1082.968	1077.170
775	1004.857	1150.935	1144.113
776	1180.714	1141.871	1157.264
777	1146.057	1207.742	1209.679
778	1185.171	1140.774	1197.943
779	1155.400	1089.548	1192.264
780	1065.200	1033.613	1182.717
781	1085.914	1044.516	1213.094
782	1051.371	1009.194	1193.943
783	1065.571	1027.968	1177.528
784	1190.171	1042.710	1214.660
785	1317.629	1064.065	1277.623
786	1452.514	1180.000	1374.208
787	1669.886	1340.806	1638.075
788	1634.200	1295.613	1624.528
789	1646.400	1382.129	1687.094
790	1769.486	1446.387	1723.377
791	2173.486	1496.355	1711.019
792	1941.171	1335.097	1541.887
793	1752.257	1182.839	1433.340
794	1522.371	1096.581	1328.660
795	1340.114	1057.290	1287.019
796	1223.800	985.226	1292.547
797	1087.600	951.516	1239.623
798	1000.829	917.323	1170.321
799	942.943	900.194	1110.302
800	908.086	897.645	1073.925
801	869.800	863.194	1046.849
802	801.086	846.774	992.000
803	800.686	862.000	949.924
804	761.286	874.484	993.170
805	787.143	897.548	1099.679
806	889.657	972.419	1322.906
807	980.714	1091.581	1452.698
808	1246.057	1286.032	1861.887
809	1334.629	1254.387	1984.604
810	1307.229	1263.645	1934.792
811	1210.229	1242.290	1861.396
812	1303.571	1361.000	1817.943
813	1342.886	1296.226	1753.113
814	1317.914	1547.677	1703.151
815	1427.257	1644.839	1997.792
816	1514.629	1784.000	2208.623
817	1560.543	1841.839	2376.887
818	1668.543	2193.742	2775.075
819	1607.743	2042.710	2775.585
820	1537.886	2236.516	2735.774
821	1583.886	2834.258	2534.981
822	1364.657	2741.839	2288.000
823	1212.143	2531.613	2059.472
824	1161.686	2367.645	1870.132
825	1042.657	2125.129	1647.377
826	956.457	2096.355	1533.755
827	931.943	2248.419	1435.811
828	925.457	2264.129	1386.170
829	906.457	2216.290	1350.830
830	895.629	2179.226	1294.925
831	909.286	2180.742	1271.660
832	954.457	2189.226	1258.566
833	992.286	1983.258	1303.585
834	973.086	1824.710	1318.547
835	945.743	1780.677	1324.321
836	1052.629	2213.774	1608.755
837	1042.743	2210.194	1615.038
838	987.886	2257.484	1647.811
839	953.543	2142.032	1575.208
840	974.114	2290.419	1738.377
841	951.429	2182.710	1707.925
842	955.543	2202.484	1750.849
843	928.657	2060.032	1610.340
844	891.029	2033.290	1478.170
845	866.343	2019.613	1330.019
846	850.886	1910.452	1295.453
847	837.914	1956.548	1257.396
848	909.200	2137.000	1367.377
849	870.714	2319.194	1372.000
